synth model  
2  
11  
3  
Type of resistivity data (1=resistance 0=resistivity) 
0  
215
2  
0  
4     2.0000 0.0      0.0000 0.0      4.0000 0.0      6.0000 0.0     168.6945
4     4.0000 0.0      2.0000 0.0      6.0000 0.0      8.0000 0.0     168.0232
4     6.0000 0.0      4.0000 0.0      8.0000 0.0     10.0000 0.0     169.0425
4     8.0000 0.0      6.0000 0.0     10.0000 0.0     12.0000 0.0     182.7894
4    10.0000 0.0      8.0000 0.0     12.0000 0.0     14.0000 0.0     171.4424
4    12.0000 0.0     10.0000 0.0     14.0000 0.0     16.0000 0.0     162.7293
4    14.0000 0.0     12.0000 0.0     16.0000 0.0     18.0000 0.0     161.8407
4    16.0000 0.0     14.0000 0.0     18.0000 0.0     20.0000 0.0     185.5860
4    18.0000 0.0     16.0000 0.0     20.0000 0.0     22.0000 0.0     177.7738
4    20.0000 0.0     18.0000 0.0     22.0000 0.0     24.0000 0.0     192.3370
4    22.0000 0.0     20.0000 0.0     24.0000 0.0     26.0000 0.0     190.9850
4    24.0000 0.0     22.0000 0.0     26.0000 0.0     28.0000 0.0     181.6522
4    26.0000 0.0     24.0000 0.0     28.0000 0.0     30.0000 0.0     180.0032
4    28.0000 0.0     26.0000 0.0     30.0000 0.0     32.0000 0.0     168.6218
4    30.0000 0.0     28.0000 0.0     32.0000 0.0     34.0000 0.0     170.2826
4    32.0000 0.0     30.0000 0.0     34.0000 0.0     36.0000 0.0     158.2613
4    34.0000 0.0     32.0000 0.0     36.0000 0.0     38.0000 0.0     132.5869
4    36.0000 0.0     34.0000 0.0     38.0000 0.0     40.0000 0.0     127.9501
4    38.0000 0.0     36.0000 0.0     40.0000 0.0     42.0000 0.0     111.0986
4    40.0000 0.0     38.0000 0.0     42.0000 0.0     44.0000 0.0     111.3135
4    42.0000 0.0     40.0000 0.0     44.0000 0.0     46.0000 0.0     124.0955
4    44.0000 0.0     42.0000 0.0     46.0000 0.0     48.0000 0.0     160.7155
4    46.0000 0.0     44.0000 0.0     48.0000 0.0     50.0000 0.0     185.7153
4    48.0000 0.0     46.0000 0.0     50.0000 0.0     52.0000 0.0     183.3761
4    50.0000 0.0     48.0000 0.0     52.0000 0.0     54.0000 0.0     171.6567
4    52.0000 0.0     50.0000 0.0     54.0000 0.0     56.0000 0.0     171.6148
4    54.0000 0.0     52.0000 0.0     56.0000 0.0     58.0000 0.0     172.5982
4    56.0000 0.0     54.0000 0.0     58.0000 0.0     60.0000 0.0     172.5031
4    58.0000 0.0     56.0000 0.0     60.0000 0.0     62.0000 0.0     177.8154
4    60.0000 0.0     58.0000 0.0     62.0000 0.0     64.0000 0.0     177.8103
4    62.0000 0.0     60.0000 0.0     64.0000 0.0     66.0000 0.0     165.3092
4    64.0000 0.0     62.0000 0.0     66.0000 0.0     68.0000 0.0     165.1593
4    66.0000 0.0     64.0000 0.0     68.0000 0.0     70.0000 0.0     175.8031
4    68.0000 0.0     66.0000 0.0     70.0000 0.0     72.0000 0.0     175.7891
4    70.0000 0.0     68.0000 0.0     72.0000 0.0     74.0000 0.0     176.4856
4    72.0000 0.0     70.0000 0.0     74.0000 0.0     76.0000 0.0     176.4955
4    74.0000 0.0     72.0000 0.0     76.0000 0.0     78.0000 0.0     161.4688
4    76.0000 0.0     74.0000 0.0     78.0000 0.0     80.0000 0.0     161.3279
4    78.0000 0.0     76.0000 0.0     80.0000 0.0     82.0000 0.0     183.8576
4    80.0000 0.0     78.0000 0.0     82.0000 0.0     84.0000 0.0     183.7729
4    82.0000 0.0     80.0000 0.0     84.0000 0.0     86.0000 0.0     166.4745
4    84.0000 0.0     82.0000 0.0     86.0000 0.0     88.0000 0.0     166.3440
4    86.0000 0.0     84.0000 0.0     88.0000 0.0     90.0000 0.0     169.1995
4    88.0000 0.0     86.0000 0.0     90.0000 0.0     92.0000 0.0     176.2160
4    90.0000 0.0     88.0000 0.0     92.0000 0.0     94.0000 0.0     169.5242
4     2.0000 0.0      0.0000 0.0      6.0000 0.0      8.0000 0.0      77.2451
4     4.0000 0.0      2.0000 0.0      8.0000 0.0     10.0000 0.0      73.4107
4     6.0000 0.0      4.0000 0.0     10.0000 0.0     12.0000 0.0      69.2499
4     8.0000 0.0      6.0000 0.0     12.0000 0.0     14.0000 0.0      64.7164
4    10.0000 0.0      8.0000 0.0     14.0000 0.0     16.0000 0.0      76.4608
4    12.0000 0.0     10.0000 0.0     16.0000 0.0     18.0000 0.0      74.5619
4    14.0000 0.0     12.0000 0.0     18.0000 0.0     20.0000 0.0      74.0112
4    16.0000 0.0     14.0000 0.0     20.0000 0.0     22.0000 0.0      78.9848
4    18.0000 0.0     16.0000 0.0     22.0000 0.0     24.0000 0.0      72.1901
4    20.0000 0.0     18.0000 0.0     24.0000 0.0     26.0000 0.0      73.5723
4    22.0000 0.0     20.0000 0.0     26.0000 0.0     28.0000 0.0      70.9858
4    24.0000 0.0     22.0000 0.0     28.0000 0.0     30.0000 0.0      69.7544
4    26.0000 0.0     24.0000 0.0     30.0000 0.0     32.0000 0.0      76.1725
4    28.0000 0.0     26.0000 0.0     32.0000 0.0     34.0000 0.0      84.5723
4    30.0000 0.0     28.0000 0.0     34.0000 0.0     36.0000 0.0      62.5008
4    32.0000 0.0     30.0000 0.0     36.0000 0.0     38.0000 0.0      45.7171
4    34.0000 0.0     32.0000 0.0     38.0000 0.0     40.0000 0.0      36.0457
4    36.0000 0.0     34.0000 0.0     40.0000 0.0     42.0000 0.0      29.6607
4    38.0000 0.0     36.0000 0.0     42.0000 0.0     44.0000 0.0      30.7061
4    40.0000 0.0     38.0000 0.0     44.0000 0.0     46.0000 0.0      36.7887
4    42.0000 0.0     40.0000 0.0     46.0000 0.0     48.0000 0.0      40.8920
4    44.0000 0.0     42.0000 0.0     48.0000 0.0     50.0000 0.0      62.1084
4    46.0000 0.0     44.0000 0.0     50.0000 0.0     52.0000 0.0      76.3498
4    48.0000 0.0     46.0000 0.0     52.0000 0.0     54.0000 0.0      73.4189
4    50.0000 0.0     48.0000 0.0     54.0000 0.0     56.0000 0.0      79.3062
4    52.0000 0.0     50.0000 0.0     56.0000 0.0     58.0000 0.0      77.5055
4    54.0000 0.0     52.0000 0.0     58.0000 0.0     60.0000 0.0      74.4306
4    56.0000 0.0     54.0000 0.0     60.0000 0.0     62.0000 0.0      70.8408
4    58.0000 0.0     56.0000 0.0     62.0000 0.0     64.0000 0.0      68.8626
4    60.0000 0.0     58.0000 0.0     64.0000 0.0     66.0000 0.0      73.0479
4    62.0000 0.0     60.0000 0.0     66.0000 0.0     68.0000 0.0      64.8158
4    64.0000 0.0     62.0000 0.0     68.0000 0.0     70.0000 0.0      71.0401
4    66.0000 0.0     64.0000 0.0     70.0000 0.0     72.0000 0.0      74.9664
4    68.0000 0.0     66.0000 0.0     72.0000 0.0     74.0000 0.0      74.0623
4    70.0000 0.0     68.0000 0.0     74.0000 0.0     76.0000 0.0      70.8141
4    72.0000 0.0     70.0000 0.0     76.0000 0.0     78.0000 0.0      73.6564
4    74.0000 0.0     72.0000 0.0     78.0000 0.0     80.0000 0.0      67.1469
4    76.0000 0.0     74.0000 0.0     80.0000 0.0     82.0000 0.0      75.2646
4    78.0000 0.0     76.0000 0.0     82.0000 0.0     84.0000 0.0      76.4987
4    80.0000 0.0     78.0000 0.0     84.0000 0.0     86.0000 0.0      73.6200
4    82.0000 0.0     80.0000 0.0     86.0000 0.0     88.0000 0.0      69.5321
4    84.0000 0.0     82.0000 0.0     88.0000 0.0     90.0000 0.0      71.7759
4    86.0000 0.0     84.0000 0.0     90.0000 0.0     92.0000 0.0      68.1397
4    88.0000 0.0     86.0000 0.0     92.0000 0.0     94.0000 0.0      75.9158
4     2.0000 0.0      0.0000 0.0      8.0000 0.0     10.0000 0.0      53.2001
4     4.0000 0.0      2.0000 0.0     10.0000 0.0     12.0000 0.0      52.0294
4     6.0000 0.0      4.0000 0.0     12.0000 0.0     14.0000 0.0      56.3319
4     8.0000 0.0      6.0000 0.0     14.0000 0.0     16.0000 0.0      49.9031
4    10.0000 0.0      8.0000 0.0     16.0000 0.0     18.0000 0.0      56.7688
4    12.0000 0.0     10.0000 0.0     18.0000 0.0     20.0000 0.0      51.7527
4    14.0000 0.0     12.0000 0.0     20.0000 0.0     22.0000 0.0      51.3607
4    16.0000 0.0     14.0000 0.0     22.0000 0.0     24.0000 0.0      55.9707
4    18.0000 0.0     16.0000 0.0     24.0000 0.0     26.0000 0.0      52.0482
4    20.0000 0.0     18.0000 0.0     26.0000 0.0     28.0000 0.0      58.2400
